11,21/09/30 17:51:59,21/09/30 17:52:00,START,-1,,1
10,21/09/30 17:51:58,21/09/30 17:52:01,STOP,-1,,1
9,21/09/30 17:51:54,21/09/30 17:51:58,START,-1,,1
8,21/09/30 17:51:49,21/09/30 17:51:53,STOP,-1,,1
7,21/09/30 17:51:39,21/09/30 17:51:46,START,-1,,1
6,21/09/30 17:51:33,21/09/30 17:51:38,START,-1,,1
5,21/09/30 17:51:30,21/09/30 17:51:39,STOP,-1,,1
4,21/09/30 17:51:29,21/09/30 17:51:30,STOP,-1,,1
3,21/09/30 17:51:28,21/09/30 17:51:29,START,-1,,1
2,21/09/30 17:51:21,21/09/30 17:51:28,STOP,-1,,1
1,21/09/30 17:51:16,21/09/30 17:51:24,START,-1,,1
