18,21/09/29 17:10:34,21/09/29 17:10:35,LIGHT,-1,,1
17,21/09/29 17:10:34,21/09/29 17:10:35,SWITCH3,-1,,0
16,21/09/29 17:10:33,21/09/29 17:10:37,SWITCH2,-1,,1
15,21/09/29 17:10:25,21/09/29 17:10:27,SWITCH3,-1,,0
14,21/09/29 17:10:24,21/09/29 17:10:28,LIGHT,-1,,1
13,21/09/29 17:10:24,21/09/29 17:10:28,SWITCH2,-1,,1
12,21/09/29 17:10:22,21/09/29 17:10:30,SWITCH,-1,,1
11,21/09/29 17:10:10,21/09/29 17:10:13,SWITCH3,-1,,0
10,21/09/29 17:10:08,21/09/29 17:10:15,LIGHT,-1,,1
9,21/09/29 17:10:08,21/09/29 17:10:17,SWITCH,-1,,1
8,21/09/29 17:10:02,21/09/29 17:10:05,LIGHT,-1,,1
7,21/09/29 17:10:02,21/09/29 17:10:05,SWITCH,-1,,1
6,21/09/29 17:09:57,21/09/29 17:10:01,LIGHT,-1,,1
5,21/09/29 17:09:57,21/09/29 17:10:15,SWITCH2,-1,,1
4,21/09/29 17:09:48,21/09/29 17:10:01,SWITCH3,-1,,0
3,21/09/29 17:09:46,21/09/29 17:09:55,LIGHT,-1,,1
2,21/09/29 17:09:46,21/09/29 17:09:51,SWITCH2,-1,,1
1,21/09/29 17:09:44,21/09/29 17:09:55,SWITCH,-1,,1
