12,21/09/30 21:58:10,21/09/30 21:58:13,LIGHT,-1,,1
11,21/09/30 21:58:10,21/09/30 21:58:13,SWITCH,-1,,1
10,21/09/30 21:58:06,21/09/30 21:58:09,LIGHT,-1,,1
9,21/09/30 21:58:06,21/09/30 21:58:09,SWITCH,-1,,1
8,21/09/30 21:57:59,21/09/30 21:58:02,LIGHT,-1,,1
7,21/09/30 21:57:59,21/09/30 21:58:02,SWITCH,-1,,1
6,21/09/30 21:57:53,21/09/30 21:57:57,LIGHT,-1,,1
5,21/09/30 21:57:53,21/09/30 21:57:57,SWITCH,-1,,1
4,21/09/30 21:57:49,21/09/30 21:57:51,LIGHT,-1,,1
3,21/09/30 21:57:49,21/09/30 21:57:51,SWITCH,-1,,1
2,21/09/30 21:57:45,21/09/30 21:57:47,LIGHT,-1,,1
1,21/09/30 21:57:45,21/09/30 21:57:47,SWITCH,-1,,1
